	start	stop	strand
b0001	189	255	1
b0002	336	2799	1
b0003	2800	3733	1
b0004	3733	5020	1
b0005	5233	5530	1
b0006	5682	6459	-1
b0007	6528	7959	-1
b0008	8237	9191	1
b0009	9305	9893	1
b0010	9927	10494	-1
b0011	10642	11356	-1
b0012	10829	11315	1
b0013	11381	11786	-1
b0014	12162	14079	1
b0015	14167	15298	1
b0016	15444	16557	1
b0018	16750	16960	-1
b4412	16750	16903	-1
b0019	17488	18655	1
b0020	18714	19620	1
b0021	19810	20314	-1
b0022	20232	20508	-1
b0023	20814	21078	-1
b0024	21180	21399	1
b0025	21406	22348	1
b0026	22390	25207	1
b0027	25206	25701	1
b0028	25825	26275	1
b0029	26276	27227	1
b0030	27292	28207	1
b0031	28373	29195	1
b0032	29650	30799	1
b0033	30816	34038	1
b0034	34299	34695	1
b0035	34780	35371	-1
b0036	35376	36162	-1
b0037	36270	37824	-1
b0038	37897	39115	-1
b0039	39243	40386	-1
b0040	40416	41931	-1
b0041	42402	43173	1
b0042	43187	44129	1
b0043	44179	45466	1
b0044	45462	45750	1
b0045	45806	47138	1
b0046	47245	47776	1
b0047	47768	49631	1
b0048	49822	50302	1
b0049	50379	51222	-1
b0050	51228	51606	-1
b0051	51608	52430	-1
b0052	52426	53416	-1
b0053	53415	54702	-1
b0054	54754	57109	-1
b0055	57363	58179	1
b0056	58473	59124	1
b0057	59120	59279	1
b0058	59686	60346	-1
b0059	60357	63264	-1
b0060	63428	65780	-1
b0061	65854	66550	-1
b0062	66834	68337	-1
b0063	68347	70048	-1
b0064	70386	71265	1
b0065	71350	72115	1
b0066	72228	72927	-1
b0067	72910	74521	-1
b0068	74496	75480	-1
b0069	75643	77299	-1
b4662	77387	77519	1
b0070	77620	78799	1
b0071	78847	79453	-1
b0072	79463	80864	-1
b0073	80866	81958	-1
b0074	81957	83529	-1
b0075	83621	83708	-1
b0076	84367	85312	1
b4726	85466	85511	-1
b0077	85629	87354	1
b0078	87356	87848	1
b0080	88027	89032	1
b0081	89633	90092	1
b0082	90093	91035	1
b0083	91031	91397	1
b0084	91412	93179	1
b0085	93165	94653	1
b0086	94649	96008	1
b0087	96001	97084	1
b0088	97086	98403	1
b0089	98402	99647	1
b0090	99643	100711	1
b0091	100764	102240	1
b0092	102232	103153	1
b0093	103154	103985	1
b0094	103981	105244	1
b0095	105304	106456	1
b0096	106556	107474	1
b0097	107704	108217	1
b0098	108278	110984	1
b0099	111043	111433	1
b0101	111648	111846	-1
b0102	111855	112599	-1
b0103	112598	113219	-1
b4727	113243	113288	1
b0104	113443	114487	1
b0106	114521	115724	-1
b0107	115713	117099	-1
b0108	117108	117549	-1
b0109	117751	118645	-1
b0110	118732	119284	1
b0111	119280	120135	1
b0112	120177	121551	-1
b0113	122091	122856	1
b0114	123016	125680	1
b0115	125694	127587	1
b0116	127911	129336	1
b0117	129406	131260	-1
b0118	131614	134212	1
b0119	134387	134750	1
b0120	134787	135582	-1
b0121	135597	136464	-1
b0122	136569	136917	-1
b0123	137082	138633	1
b0124	138834	141225	-1
b0125	141430	141967	1
b0126	142007	142670	-1
b0127	142778	143705	1
b0128	143701	144472	1
b0129	144576	145017	1
b0130	145080	146310	1
b0131	146313	146694	-1
b0132	146967	147870	1
b0133	147943	148795	-1
b0134	148806	149601	-1
b0135	149714	150953	-1
b0136	151002	151599	-1
b0137	151625	152231	-1
b0138	152242	152812	-1
b0139	152828	155426	-1
b0140	155460	156201	-1
b0141	156298	156883	-1
b0142	157252	157732	-1
b0143	157728	159126	-1
b0144	159185	160112	-1
b0145	160148	160604	-1
b0146	160781	161486	-1
b0147	161500	162031	-1
b0148	162104	164534	1
b0149	164729	167264	1
b0150	167483	169727	1
b0151	169777	170575	1
b0152	170574	171465	1
b0153	171461	173444	1
b0154	173601	174882	-1
b0155	175106	176528	1
b4728	176551	176617	1
b0156	176609	176954	1
b0157	177000	177624	-1
b0158	177661	178462	-1
b0159	178454	179153	-1
b0160	179236	180754	1
b0161	180883	182308	1
b0162	182462	183620	1
b0163	183708	184095	-1
b0164	184256	185069	-1
b0166	185122	185947	-1
b0167	185977	188650	-1
b0168	188711	189506	-1
b0169	189873	190599	1
b0170	190856	191708	1
b0171	191854	192580	1
b0172	192871	193429	1
b0173	193520	194717	1
b0174	194902	195664	1
b0175	195676	196534	1
b0176	196545	197898	1
b0177	197927	200360	1
b0178	200481	200967	1
b0179	200970	201996	1
b0180	202100	202556	1
b0181	202559	203348	1
b0182	203347	204496	1
b0183	204492	205089	1
b0184	205125	208608	1
b0185	208620	209580	1
b0186	209678	211820	1
b0187	211876	212266	1
b0188	212330	213629	1
b0189	213677	213932	-1
b4406	213924	214125	-1
b0190	214290	214836	1
b0191	214832	215255	1
b0192	215268	215979	1
b0193	216178	217003	-1
b0194	217056	218775	-1
b0195	218886	219594	-1
b0196	219590	219995	-1
b0197	220112	220928	-1
b0198	220967	221621	-1
b0199	221613	222645	-1
b0200	222832	223408	1
b0207	229166	229970	1
b0208	229966	230881	-1
b0209	231121	231922	1
b0210	231925	232549	1
b0211	232596	233955	-1
b0212	234026	234782	-1
b0213	234815	235538	1
b0214	235534	236002	-1
b0215	236066	236798	1
b0217	237334	238120	1
b4586	238256	238736	-1
b0219	239418	240189	-1
b0220	240342	240816	1
b0221	240858	243303	-1
b0222	243542	244121	1
b0223	244326	245094	1
b0224	245064	245805	-1
b0225	245960	246239	-1
b0226	246241	246502	-1
b0227	246711	247461	1
b0228	247636	248134	1
b0231	250897	251953	1
b0232	252004	252298	1
b0233	252300	252699	1
b0234	252708	253161	1
b0237	254258	255716	-1
b0238	255976	256435	1
b0239	256526	257771	1
b4710	257922	258426	-1
b4709	258344	258620	-1
b0241	259044	260100	-1
b0242	260387	261491	1
b0243	261502	262756	1
b0245	263327	263669	-1
b0246	263689	264007	-1
b4504	264025	264247	-1
b0247	264255	264732	-1
b0248	264747	265206	-1
b0249	265303	265543	-1
b0250	265619	266087	-1
b0251	266109	266553	-1
b0252	267183	268005	-1
b0253	268096	268960	-1
b0254	269288	270182	-1
b0256	270602	271754	1
b0258	272846	273992	1
b0259	274100	275117	-1
b0260	275324	276728	1
b0261	276714	277647	1
b0262	277755	278802	-1
b0264	279177	279681	-1
b0265	279599	279875	-1
b0266	280384	280735	-1
b0267	280828	281983	-1
b0268	282277	283186	1
b0269	283200	285168	1
b0270	285394	286777	1
b0271	286788	288399	1
b0272	288403	289162	-1
b0273	289300	290305	-1
b4688	290509	290638	1
b0274	290648	291152	-1
b0275	291070	291346	-1
b0276	291499	292231	1
b0277	292321	292948	-1
b0278	293219	293918	-1
b0279	293944	294799	-1
b4729	294917	295142	-1
b0280	295138	295579	-1
b0281	295695	297096	-1
b0282	297380	297791	-1
b0283	297769	298726	-1
b0284	298735	300934	-1
b0285	300930	301887	-1
b0286	301883	302573	-1
b0287	302990	303605	1
b0288	303852	304182	-1
b0289	304494	305205	-1
b0290	305173	306817	-1
b0291	306806	309332	-1
b0292	309357	310026	-1
b0293	310083	310671	-1
b0294	310745	311336	-1
b0295	312111	312339	1
b4506	312373	312514	-1
b0296	312513	312777	-1
b4671	313140	313242	-1
b0298	315290	315590	1
b0299	315586	316453	1
b0301	317725	318319	-1
b0303	318330	318567	-1
b0304	318675	320001	-1
b0305	320226	321081	1
b0306	321607	322327	1
b0307	322337	323765	1
b0308	323757	324453	1
b0310	324695	325364	-1
b0311	325576	327247	-1
b0312	327260	328733	-1
b0313	328746	329334	-1
b0314	329462	331496	1
b4730	331801	331876	1
b0315	332370	333459	1
b0316	333500	334433	-1
b0317	334524	335022	-1
b0318	335279	335885	1
b0319	335924	336788	1
b0320	336777	338325	1
b0321	338324	339743	1
b0322	339792	340089	1
b0323	340164	341115	1
b0324	341124	342507	1
b0325	342883	343933	1
b0326	344175	344991	1
b0327	345403	345649	1
b0328	345665	346337	-1
b0329	346483	346759	1
b0330	346856	348443	-1
b0331	348681	349572	1
b0333	350011	351181	1
b0334	351214	352666	1
b0335	352705	354592	1
b0336	354921	356181	1
b0337	356170	357454	1
b0338	357790	358690	-1
b0339	358798	359458	1
b0340	359488	359959	1
b0341	359991	361146	1
b0342	361248	361860	-1
b0343	361925	363179	-1
b0344	363230	366305	-1
b0345	366427	367510	-1
b0346	367586	368420	-1
b0347	368610	370275	1
b0348	370276	371221	1
b0349	371238	372105	1
b0350	372114	372924	1
b0351	372920	373871	1
b0352	373867	374881	1
b0353	375458	376670	1
b0354	376771	377311	1
b0355	377534	378368	-1
b0356	378461	379571	-1
b0357	379605	379881	-1
b0358	380068	380842	-1
b0360	381350	381716	1
b0361	381673	382579	1
b0363	382738	383935	-1
b4731	383959	384079	1
b0364	384058	384616	-1
b0365	385231	386194	1
b0366	386206	386974	1
b0367	386970	387798	1
b0368	387794	388646	1
b0369	388752	389727	-1
b0372	391738	392605	-1
b0373	392601	392901	-1
b0375	394505	395129	1
b0376	395129	396287	-1
b0377	396638	397859	1
b0378	397871	398966	1
b0379	399024	399333	-1
b0380	399592	399805	1
b0381	399828	400923	-1
b0382	401385	401646	1
b0383	401746	403162	1
b0384	403280	403601	1
b0385	403702	404818	1
b0386	404834	405644	-1
b0387	405763	406222	1
b0388	406404	406929	1
b0389	406978	407170	1
b0390	407427	408105	1
b0391	408176	408461	1
b4732	408946	409030	1
b0393	409107	410019	-1
b0394	410143	411052	1
b0396	411296	412481	-1
b0397	412606	415753	-1
b0398	415749	416952	-1
b0399	417141	417831	1
b0400	417888	419184	1
b0401	419590	420910	1
b0402	420985	422359	1
b0403	422517	424332	1
b0404	424336	424918	-1
b0405	425010	426081	1
b0406	426136	427264	1
b0407	427286	427619	1
b0408	427646	429494	1
b0409	429504	430476	1
b0410	430604	430952	1
b0411	431128	432013	-1
b0412	432311	432851	-1
b0413	433001	433451	1
b0414	433454	434558	1
b0415	434646	435117	1
b0416	435136	435556	1
b0417	435633	436611	1
b0418	436588	437107	1
b0419	437160	438135	-1
b0420	438314	440177	-1
b0421	440201	441101	-1
b0422	441100	441343	-1
b0423	441548	442997	1
b0424	443050	443641	-1
b0425	443603	444515	-1
b0426	444682	445174	1
b0427	445301	446666	-1
b0428	446814	447705	-1
b0429	447716	448046	-1
b0430	448045	448660	-1
b0431	448649	450641	-1
b0432	450662	451610	-1
b0433	452069	453545	-1
b0434	453588	454167	-1
b0435	454471	454789	1
b0436	455132	456431	1
b0437	456676	457300	1
b0438	457425	458700	1
b0439	458887	461242	1
b0440	461450	461723	1
b0441	461914	463786	1
b0442	463936	464308	1
b0443	464401	464800	1
b0444	464851	465547	-1
b0445	465611	467312	-1
b0446	467411	468230	1
b0447	468382	468841	1
b0448	468870	470643	1
b0449	470635	472417	1
b0450	472597	472936	1
b0451	472965	474252	1
b0452	474300	475161	-1
b0453	475378	475951	1
b0454	475981	476371	-1
b0456	476671	477025	1
b0457	477066	478617	-1
b0458	478780	479251	-1
b0459	479366	479918	-1
b0460	480089	480308	-1
b0461	480333	480708	-1
b0462	481253	484403	-1
b0463	484425	485619	-1
b0464	485760	486408	1
b0465	486535	489898	1
b0466	490109	490271	-1
b0467	490284	490812	-1
b0468	490881	491259	1
b0469	491411	491963	1
b0470	492091	494023	1
b0471	494075	494405	1
b0472	494404	495010	1
b0473	495119	496994	1
b0474	497174	497819	1
b0475	498054	499017	1
b0476	499013	499973	-1
b0477	500124	501429	1
b0478	501561	503238	-1
b0479	503475	504696	-1
b0480	504913	506566	1
b0481	506602	507082	-1
b0482	507285	508080	-1
b0483	508217	508559	1
b0484	508874	511379	-1
b0485	511640	512573	1
b0486	512575	513868	1
b0487	513992	514400	1
b0488	514400	514859	-1
b0489	514855	515773	-1
b0490	515918	516596	1
b0491	516582	517362	1
b0492	517424	518279	-1
b0493	518339	519149	-1
b0494	519138	519765	-1
b0495	519732	520419	1
b0496	520415	522830	1
b0497	523260	527541	1
b0498	527580	527949	1
b0502	529644	530016	-1
b0503	530131	531226	-1
b0504	531294	532221	-1
b0505	532450	532933	1
b0506	533010	533826	1
b0507	533915	535697	1
b0508	535709	536486	1
b0509	536585	537464	1
b0511	537632	539087	1
b0512	539146	540508	1
b0513	540564	541866	1
b0514	541887	543033	1
b0515	543260	544046	-1
b0516	544056	545292	-1
b0517	545313	546363	-1
b0518	546679	548347	1
b4572	548356	549616	1
b0520	549626	550442	1
b0521	550438	551332	1
b0522	551526	552594	-1
b0523	552590	553100	-1
b0524	553217	553940	-1
b0525	553942	554437	-1
b0526	554610	555996	1
b0527	556031	556553	-1
b0528	556660	556873	-1
b0529	556874	557741	-1
b0530	558211	558754	1
b0531	558973	559666	1
b0532	559696	562300	1
b0533	562335	563319	1
b0534	563329	563845	1
b0535	563847	564480	-1
b0537	564814	565978	-1
b0540	566841	567141	1
b0541	567137	568004	1
b0543	568314	568647	1
b4733	568694	568844	1
b0544	568901	570428	1
b0545	570892	571444	1
b0546	571453	572251	1
b4588	572367	572469	1
b0547	572465	572921	1
b0548	572920	573091	1
b0549	573083	573374	1
b0550	573370	573733	1
b4509	573729	573870	1
b0551	573955	574339	1
b0552	574736	575753	-1
b0554	577397	577613	1
b0555	577612	578110	1
b0556	578106	578568	1
b4510	578326	578509	1
b0557	578599	578893	-1
b0558	579183	579594	-1
b0559	579879	580086	1
b4589	580250	580445	-1
b0560	580833	581379	1
b0561	581533	582097	1
b0563	582874	583060	1
b0564	583680	584430	1
b0565	584679	585633	-1
b0566	586146	586908	-1
b0567	587090	587981	-1
b0568	587981	590954	-1
b0569	590940	593178	-1
b0570	593327	594770	-1
b0571	594759	595443	-1
b0572	595599	596973	1
b0573	597130	597463	1
b0574	597478	598702	1
b0575	598713	601857	1
b0576	601958	603335	1
b0577	603415	604663	-1
b0578	604770	605424	-1
b0579	605517	605886	-1
b0580	605950	606199	-1
b0581	606264	607383	-1
b4415	607835	607988	1
b0582	608064	609177	1
b0583	609458	610079	-1
b0584	610253	612494	-1
b0585	612736	613939	1
b4511	613941	614160	1
b0586	614156	618038	1
b0587	618253	619387	1
b0588	619383	620199	-1
b0589	620195	621188	-1
b0590	621184	622189	-1
b0591	622299	623550	1
b0592	623553	624510	-1
b0593	624884	626060	1
b0594	626069	627680	1
b0595	627693	628551	1
b0596	628550	629297	1
b0597	629299	629713	1
b0598	629893	631999	1
b4512	632181	632379	1
b0599	632388	633477	-1
b0600	633585	634746	1
b0601	634746	635376	-1
b0602	635348	636569	-1
b0603	636715	637618	-1
b0604	637826	638573	-1
b0605	638944	639508	1
b0606	639752	641318	1
b0607	641438	641867	-1
b0608	642087	643326	1
b4734	643329	643419	-1
b0610	643556	643967	-1
b0611	644196	645003	-1
b0612	645116	646580	-1
b0613	646630	647509	-1
b0614	647483	648035	-1
b0615	648038	649571	-1
b0616	649581	650490	-1
b0617	650486	650783	-1
b0618	650797	651856	-1
b0619	652234	653893	1
b0620	653861	654542	1
b0621	654582	655968	-1
b0622	656556	657117	1
b0623	657291	657501	1
b0624	657554	657938	-1
b0627	658946	659150	1
b0628	659250	660216	-1
b0629	660424	661378	-1
b0630	661636	662278	-1
b0631	662378	662642	-1
b0632	662751	663963	-1
b0633	664101	665190	-1
b0634	665200	666313	-1
b0635	666315	668217	-1
b0636	668247	668715	-1
b0637	668718	669036	-1
b0638	669295	669907	-1
b0639	669930	670572	-1
b0640	670573	671605	-1
b0641	671604	672186	-1
b0642	672200	674783	-1
b0643	675017	675500	1
b0644	675569	676547	-1
b0645	676710	677418	1
b0646	677414	678842	1
b0647	678851	679406	-1
b0648	679507	680215	1
b0649	680211	681663	1
b0650	681722	683393	-1
b0651	683476	684412	-1
b0652	684529	685255	-1
b0653	685254	685929	-1
b0654	685928	686669	-1
b0655	686838	687747	-1
b0656	687996	689013	-1
b0657	689342	690881	-1
b0658	690905	691784	-1
b0659	691873	692341	-1
b0660	692337	693378	-1
b0661	693530	694955	-1
b0662	695100	696276	1
b0674	697512	699177	-1
b0675	699573	700326	-1
b0676	700373	701594	-1
b0677	701602	702751	-1
b0678	702810	703611	-1
b0679	703943	705890	1
b0680	706092	707757	1
b0681	708333	709740	1
b0682	709789	710116	1
b0683	710199	710646	-1
b4637	710638	710725	-1
b0684	710934	711465	-1
b0685	711604	711898	-1
b0686	712037	712802	-1
b0687	712986	713532	1
b0688	713557	715198	1
b0689	715411	715906	1
b0692	716945	718265	-1
b0693	718261	720460	-1
b4590	720582	720840	1
b0694	721055	721733	-1
b0695	721729	724414	-1
b0696	724406	724979	-1
b0697	724987	727036	-1
b0698	727058	728732	-1
