locus_tag	ATG_index	location	within_frame	Unconstrained_mfe	Unconstrained_ensemble	Constrained_mfe	Constrained_ensemble
b0001	0	primary		-4.3	-2.0	-1.61	-0.6
b0002	0	primary		-20.68	-18.1	-11.8	-10.5
b0002	37	internal	False	-29.91	-27.0	-17.47	-14.9
b0002	79	internal	False	-43.35	-40.8	-29.42	-27.9
b0002	147	internal	True	-22.77	-20.5	-11.05	-10.35
b0002	175	internal	False	-22.28	-20.1	-12.39	-10.7
b0002	196	internal	False	-18.8	-15.5	-12.04	-9.1
b0002	307	internal	False	-27.25	-24.1	-16.32	-13.8
b0002	316	internal	False	-25.47	-21.9	-16.98	-14.5
b0002	384	internal	True	-36.39	-34.8	-24.48	-23.7
b0002	399	internal	True	-30.88	-28.5	-15.25	-13.4
b0002	549	internal	True	-31.17	-29.0	-19.97	-18.3
b0002	558	internal	True	-36.77	-35.6	-28.92	-27.4
b0002	580	internal	False	-28.35	-25.5	-17.87	-15.6
b0002	724	internal	False	-45.7	-44.4	-27.68	-25.9
b0002	744	internal	True	-33.24	-31.6	-19.84	-18.4
b0002	762	internal	True	-27.74	-25.7	-17.86	-16.3
b0002	898	internal	False	-25.44	-23.3	-13.99	-13.2
b0002	942	internal	True	-25.05	-22.8	-18.43	-16.47
b0002	948	internal	True	-22.79	-21.0	-13.77	-11.7
b0002	972	internal	True	-27.39	-25.4	-18.88	-17.4
b0002	981	internal	True	-31.67	-30.6	-22.57	-21.4
b0002	990	internal	True	-33.08	-30.8	-17.12	-16.0
b0002	1014	internal	True	-42.96	-41.6	-32.66	-31.8
b0002	1119	internal	True	-29.71	-28.4	-18.6	-16.6
b0002	1210	internal	False	-35.81	-34.3	-21.42	-19.9
b0002	1215	internal	True	-36.9	-34.6	-23.67	-22.4
b0002	1336	internal	False	-24.32	-22.1	-15.43	-14.2
b0002	1339	internal	False	-22.82	-20.1	-13.26	-11.6
b0002	1371	internal	True	-28.23	-26.3	-17.51	-15.3
b0002	1534	internal	False	-26.18	-23.9	-14.05	-11.62
